Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14517,Galaxy Angel II: Mugen Kairou no Kagi,PS2,2007.0,Strategy,Broccoli,0.0,0.0,0.03,0.0,0.03
6844,Pro Yaky? Spirits 2010,PSP,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.24,0.0,0.24
4319,The Walking Dead: Season One,PS4,2014.0,Adventure,Telltale Games,0.12,0.25,0.01,0.08,0.45
13600,Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,3DS,2014.0,Action,FuRyu,0.0,0.0,0.04,0.0,0.04
13521,D.C.F.S.: Da Capo Four Seasons,PS2,2005.0,Adventure,Kadokawa Shoten,0.0,0.0,0.04,0.0,0.04
8276,Sudoku Gridmaster,DS,2006.0,Puzzle,Nintendo,0.13,0.03,0.0,0.01,0.17
6422,The Dog Island,PS2,2007.0,Adventure,Ubisoft,0.13,0.1,0.0,0.03,0.27
5494,Silent Hill: Downpour,X360,2012.0,Action,Konami Digital Entertainment,0.22,0.08,0.0,0.03,0.33
303,Namco Museum: 50th Anniversary,PS2,2005.0,Misc,Namco Bandai Games,2.08,1.35,0.0,0.54,3.98
13801,Sacred Blaze,PS2,2009.0,Strategy,Flight-Plan,0.0,0.0,0.04,0.0,0.04
15022,Cross Channel: In Memory of All People,X360,2011.0,Adventure,CyberFront,0.0,0.0,0.02,0.0,0.02
1251,The Simpsons Game,PS2,2007.0,Action,Electronic Arts,0.35,0.03,0.0,1.13,1.51
5215,AMF Bowling World Lanes,Wii,2008.0,Sports,Bethesda Softworks,0.33,0.0,0.0,0.03,0.36
14843,Imagine: Sweet 16,DS,2010.0,Simulation,Ubisoft,0.02,0.0,0.0,0.0,0.03
310,MotorStorm,PS3,2006.0,Racing,Sony Computer Entertainment,1.53,1.61,0.06,0.67,3.88
14051,Gothic Universe,PC,2007.0,Role-Playing,JoWood Productions,0.0,0.03,0.0,0.01,0.04
13296,M&M's Adventure,DS,2008.0,Adventure,Zoo Digital Publishing,0.04,0.0,0.0,0.0,0.05
1352,Disney's DuckTales,GB,1988.0,Platform,Capcom,0.82,0.23,0.35,0.03,1.43
4094,Need for Speed: Porsche Unleashed,GBA,2004.0,Racing,Zoo Digital Publishing,0.35,0.13,0.0,0.01,0.48
14536,Atomic Betty,GBA,2005.0,Puzzle,Atari,0.02,0.01,0.0,0.0,0.03
5298,One Piece: Gigant Battle 2 Shin Sekai,DS,2011.0,Fighting,Namco Bandai Games,0.0,0.0,0.35,0.0,0.35
8401,Surf's Up,Wii,2007.0,Sports,Ubisoft,0.15,0.0,0.0,0.01,0.17
3671,Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002.0,Sports,Sega,0.0,0.0,0.55,0.0,0.55
7433,Unreal II: The Awakening,XB,2004.0,Shooter,Atari,0.17,0.04,0.0,0.01,0.21
13462,The King of Fighters 2002: Unlimited Match,PS2,2009.0,Fighting,SNK Playmore,0.0,0.0,0.04,0.0,0.04
14830,Disney Planes Fire & Rescue,WiiU,2014.0,Action,Disney Interactive Studios,0.01,0.01,0.0,0.0,0.03
6770,Avatar: The Last Airbender - Into the Inferno,PS2,2008.0,Adventure,THQ,0.12,0.09,0.0,0.03,0.25
1520,SingStar '80s,PS2,2005.0,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,1.3
14549,Nippon no Asoko de,PSP,2008.0,Misc,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03
11648,Salon Superstar,DS,2009.0,Simulation,505 Games,0.07,0.0,0.0,0.0,0.08
7643,Total War: Shogun 2 - Fall of the Samurai,PC,2012.0,Strategy,Sega,0.07,0.1,0.0,0.03,0.2
3152,James Bond 007: Everything or Nothing,XB,2004.0,Shooter,Electronic Arts,0.43,0.19,0.0,0.02,0.64
2327,Call of Juarez: Bound in Blood,PS3,2009.0,Shooter,Ubisoft,0.35,0.38,0.01,0.16,0.89
1875,Yakuza 2,PS2,2006.0,Adventure,Sega,0.05,0.04,0.84,0.16,1.09
5656,Rock Band Country Track Pack,PS2,2009.0,Misc,MTV Games,0.16,0.12,0.0,0.04,0.32
11961,Lost Heroes,PSP,2012.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
9724,Onechanbara: Bikini Zombie Slayers,Wii,2008.0,Action,D3Publisher,0.11,0.0,0.0,0.01,0.12
13591,Barnyard,Wii,2006.0,Action,THQ,0.04,0.0,0.0,0.0,0.04
6377,Section 8,X360,2009.0,Shooter,SouthPeak Games,0.15,0.09,0.0,0.03,0.27
1474,WWF War Zone,N64,1998.0,Fighting,Acclaim Entertainment,1.08,0.24,0.0,0.02,1.33
9678,Sleeping Dogs,PC,2012.0,Action,Square Enix,0.06,0.05,0.0,0.02,0.12
5742,Dark Void,X360,2010.0,Action,Capcom,0.19,0.09,0.0,0.03,0.31
10825,Jaws: Ultimate Predator,Wii,2011.0,Action,Majesco Entertainment,0.09,0.0,0.0,0.01,0.09
3465,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010.0,Shooter,Activision,0.37,0.15,0.0,0.05,0.58
11416,Jikkyou Powerful Pro Yakyuu 15,Wii,2008.0,Sports,Konami Digital Entertainment,0.0,0.0,0.08,0.0,0.08
8423,Nobunaga no Yabou: Tenshoki,SNES,1996.0,Strategy,Tecmo Koei,0.0,0.0,0.17,0.0,0.17
